Task,Shelf,Workstation,Duration,WSOrder
1,6,1,7.0,1
2,4,1,5.0,2
3,2,1,10.0,3
4,2,1,5.0,4
5,1,2,10.0,1
6,3,1,6.0,5
7,6,2,10.0,2
8,6,2,5.0,3
9,6,1,5.0,6
10,6,2,5.0,4
11,3,1,7.0,7
12,2,1,6.0,8
13,1,1,7.0,9
14,4,2,9.0,5
15,2,2,6.0,6
16,4,1,5.0,10
17,1,2,8.0,7
18,4,2,10.0,8
19,3,1,8.0,11
20,5,1,5.0,12
21,4,2,6.0,9
22,5,2,9.0,10
23,6,1,8.0,13
24,4,1,7.0,14
25,3,1,9.0,15
26,4,1,8.0,16
27,4,2,10.0,11
28,1,2,5.0,12
29,5,2,8.0,13
30,3,1,10.0,17
31,5,2,9.0,14
32,3,2,10.0,15
33,2,2,10.0,16
34,2,1,7.0,18
35,1,2,10.0,17
36,6,2,9.0,18
37,6,1,8.0,19
38,4,1,10.0,20
39,4,1,10.0,21
40,4,1,5.0,22
