Task,Shelf,Workstation,Duration,WSOrder
1,1,2,10.0,1
2,6,2,6.0,2
3,3,1,6.0,1
4,2,1,9.0,2
5,3,1,6.0,3
6,3,2,6.0,3
7,6,2,6.0,4
8,3,2,5.0,5
9,6,2,8.0,6
10,5,1,7.0,4
11,5,2,10.0,7
12,4,2,10.0,8
13,5,2,7.0,9
14,3,2,8.0,10
15,6,2,10.0,11
16,1,1,8.0,5
17,6,2,10.0,12
18,2,2,5.0,13
19,4,2,8.0,14
20,1,2,7.0,15
21,6,2,10.0,16
22,1,2,6.0,17
23,3,2,7.0,18
24,3,1,5.0,6
25,2,2,5.0,19
26,5,2,9.0,20
27,1,2,10.0,21
28,2,1,10.0,7
29,3,1,9.0,8
30,3,1,10.0,9
31,2,1,7.0,10
32,1,1,6.0,11
33,5,1,9.0,12
34,5,2,5.0,22
35,2,1,9.0,13
36,4,1,9.0,14
37,2,1,6.0,15
38,1,1,5.0,16
39,6,2,10.0,23
40,2,1,8.0,17
41,4,1,9.0,18
42,4,1,8.0,19
43,5,1,5.0,20
44,1,2,8.0,24
45,6,2,8.0,25
46,2,2,9.0,26
47,5,2,9.0,27
48,3,2,5.0,28
49,2,2,10.0,29
50,6,2,7.0,30
51,5,2,5.0,31
52,2,1,5.0,21
53,3,2,10.0,32
54,4,2,9.0,33
55,4,2,10.0,34
56,3,2,8.0,35
57,4,2,8.0,36
58,1,1,5.0,22
59,4,2,10.0,37
60,1,2,5.0,38
61,5,1,8.0,23
62,1,1,10.0,24
63,5,2,9.0,39
64,2,1,10.0,25
65,5,1,9.0,26
66,2,2,6.0,40
67,1,2,5.0,41
68,1,2,8.0,42
69,6,2,9.0,43
70,6,1,9.0,27
71,4,1,6.0,28
72,6,2,8.0,44
73,2,2,5.0,45
74,6,1,7.0,29
75,3,1,5.0,30
76,3,2,6.0,46
77,3,2,7.0,47
78,5,1,9.0,31
79,3,2,9.0,48
80,3,1,6.0,32
81,6,1,9.0,33
82,2,1,8.0,34
83,5,2,8.0,49
84,6,2,6.0,50
85,5,1,9.0,35
86,5,1,10.0,36
87,4,1,5.0,37
88,5,1,10.0,38
89,2,2,9.0,51
90,3,2,6.0,52
91,2,1,6.0,39
92,3,2,10.0,53
93,1,1,8.0,40
94,3,1,9.0,41
95,1,1,5.0,42
96,3,2,8.0,54
97,1,1,9.0,43
98,2,2,5.0,55
99,6,2,5.0,56
100,4,2,5.0,57
