Task,Shelf,Workstation,Duration,WSOrder
1,6,1,8.0,1
2,3,2,5.0,1
3,5,1,6.0,2
4,2,2,8.0,2
5,6,2,9.0,3
6,3,2,6.0,4
7,6,2,8.0,5
8,3,2,9.0,6
9,6,2,8.0,7
10,1,2,5.0,8
11,2,1,9.0,3
12,5,1,9.0,4
13,1,1,10.0,5
14,2,2,5.0,9
15,2,2,9.0,10
16,4,1,10.0,6
17,2,1,9.0,7
18,3,2,8.0,11
19,6,1,6.0,8
20,6,2,5.0,12
21,1,1,6.0,9
22,2,2,8.0,13
23,2,1,9.0,10
24,3,2,5.0,14
25,2,2,9.0,15
26,5,2,8.0,16
27,2,1,10.0,11
28,1,2,8.0,17
29,1,2,9.0,18
30,2,1,10.0,12
31,2,1,8.0,13
32,4,1,6.0,14
33,5,2,9.0,19
34,1,1,8.0,15
35,6,2,8.0,20
36,4,1,7.0,16
37,3,2,9.0,21
38,6,1,9.0,17
39,2,1,5.0,18
40,1,1,10.0,19
41,6,1,7.0,20
42,1,2,8.0,22
43,1,2,10.0,23
44,1,2,10.0,24
45,3,1,7.0,21
46,2,2,8.0,25
47,5,1,9.0,22
48,3,2,6.0,26
49,2,1,8.0,23
50,5,1,9.0,24
51,4,2,9.0,27
52,5,2,9.0,28
53,4,1,6.0,25
54,5,1,5.0,26
55,5,1,8.0,27
56,1,2,10.0,29
57,5,1,10.0,28
58,6,2,8.0,30
59,2,1,8.0,29
60,4,1,8.0,30
61,1,1,5.0,31
62,2,1,7.0,32
63,3,2,8.0,31
64,6,2,8.0,32
65,2,2,5.0,33
66,3,1,5.0,33
67,2,1,5.0,34
68,2,2,9.0,34
69,1,1,9.0,35
70,1,2,7.0,35
71,5,1,8.0,36
72,5,1,9.0,37
73,2,2,5.0,36
74,5,1,7.0,38
75,2,1,6.0,39
76,4,1,7.0,40
77,6,2,7.0,37
78,5,1,9.0,41
79,6,2,8.0,38
80,6,2,6.0,39
81,4,1,8.0,42
82,3,1,10.0,43
83,2,1,7.0,44
84,3,2,9.0,40
85,1,2,8.0,41
86,6,1,6.0,45
87,3,1,8.0,46
88,6,1,6.0,47
89,4,2,10.0,42
90,6,2,8.0,43
91,3,1,10.0,48
92,2,2,7.0,44
93,1,2,10.0,45
94,2,1,6.0,49
95,2,1,10.0,50
96,6,1,7.0,51
97,2,2,10.0,46
98,1,1,5.0,52
99,5,2,8.0,47
100,4,1,7.0,53
101,1,2,10.0,48
102,3,1,8.0,54
103,4,1,5.0,55
104,2,1,5.0,56
105,5,2,10.0,49
106,5,2,9.0,50
107,4,2,8.0,51
108,3,2,10.0,52
109,1,2,9.0,53
110,2,1,9.0,57
111,6,1,9.0,58
112,2,1,8.0,59
113,1,1,9.0,60
114,4,2,8.0,54
115,5,1,8.0,61
116,1,1,9.0,62
117,1,1,7.0,63
118,1,1,9.0,64
119,3,1,7.0,65
120,1,2,6.0,55
121,5,2,6.0,56
122,3,2,7.0,57
123,2,2,7.0,58
124,1,2,8.0,59
125,1,1,6.0,66
126,5,2,9.0,60
127,6,1,7.0,67
128,4,2,10.0,61
129,4,1,8.0,68
130,2,1,6.0,69
131,5,1,8.0,70
132,5,1,9.0,71
133,1,1,9.0,72
134,5,1,7.0,73
135,6,1,5.0,74
136,3,2,10.0,62
137,2,1,9.0,75
138,5,2,9.0,63
139,5,1,7.0,76
140,4,2,8.0,64
141,5,1,9.0,77
142,3,2,5.0,65
143,3,2,7.0,66
144,2,1,8.0,78
145,5,1,6.0,79
146,4,1,9.0,80
147,5,2,8.0,67
148,6,2,5.0,68
149,2,1,6.0,81
150,1,1,8.0,82
151,4,1,5.0,83
152,3,1,5.0,84
